TOP.6144e472.0007cdfe	START
TOP.6144e8ed.00011571	user_options->rp_files_cnt	0
TOP.6144e8ed.00011571	user_options->rp_gen	0
TOP.6144e8ed.00011571	user_options->rp_gen_func_max	4
TOP.6144e8ed.00011571	user_options->rp_gen_func_min	1
TOP.6144e8ed.00011571	user_options->rp_gen_seed	0
TOP.6144e8ed.00011571	user_options->runtime	0
TOP.6144e8ed.00011571	user_options->scrypt_tmto	0
TOP.6144e8ed.00011571	user_options->segment_size	33554432
TOP.6144e8ed.00011571	user_options->self_test_disable	0
TOP.6144e8ed.00011571	user_options->slow_candidates	0
TOP.6144e8ed.00011571	user_options->show	0
TOP.6144e8ed.00011571	user_options->speed_only	0
TOP.6144e8ed.00011571	user_options->spin_damp	0
TOP.6144e8ed.00011571	user_options->status	0
TOP.6144e8ed.00011571	user_options->status_json	0
TOP.6144e8ed.00011571	user_options->status_timer	10
TOP.6144e8ed.00011571	user_options->stdout_flag	0
TOP.6144e8ed.00011571	user_options->usage	0
TOP.6144e8ed.00011571	user_options->username	0
TOP.6144e8ed.00011571	user_options->veracrypt_pim_start	485
TOP.6144e8ed.00011571	user_options->veracrypt_pim_stop	485
TOP.6144e8ed.00011571	user_options->version	0
TOP.6144e8ed.00011571	user_options->workload_profile	2
TOP.6144e8ed.00011571	user_options->brain_client	0
TOP.6144e8ed.00011571	user_options->brain_client_features	2
TOP.6144e8ed.00011571	user_options->brain_server	0
TOP.6144e8ed.00011571	user_options->brain_server_timer	300
TOP.6144e8ed.00011571	user_options->brain_port	6863
TOP.6144e8ed.00011571	user_options->brain_session	0
TOP.6144e8ed.00011571	hashes->hashfile	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\config_files\NTLM.hashes
TOP.6144e8ed.00011571	hashes->hashlist_mode	5
TOP.6144e8ed.00011571	hashes->hashlist_format	0
TOP.6144e8ed.00011571	hashes->hashes_cnt	0
TOP.6144e8ed.00011571	hashes->digests_cnt	3
TOP.6144e8ed.00011571	hashes->digests_done	1
TOP.6144e8ed.00011571	hashes->salts_cnt	1
TOP.6144e8ed.00011571	hashes->salts_done	0
TOP.6144e8ed.00011571	SUB.6144e8ed.0006637b	START
TOP.6144e8ed.00011571	SUB.6144e8ed.0006637b	straight_ctx->dict	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\wordlists\rockyou.txt
TOP.6144e8ed.00011571	SUB.6144e8ed.0006637b	runtime_start	1631906029
TOP.6144e8ed.00011571	SUB.6144e8ed.0006637b	runtime_stop	1631906053
TOP.6144e8ed.00011571	SUB.6144e8ed.0006637b	status-after-work	5
TOP.6144e8ed.00011571	SUB.6144e8ed.0006637b	STOP
TOP.6144e8ed.00011571	proc_start	1631906029
TOP.6144e8ed.00011571	proc_stop	1631906055
TOP.6144e8ed.00011571	STOP
TOP.6144ec52.00063d22	START
TOP.6144ec52.00063d22	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.6144ec52.00063d22	folder_config->install_dir	.
TOP.6144ec52.00063d22	folder_config->profile_dir	.
TOP.6144ec52.00063d22	folder_config->session_dir	.
TOP.6144ec52.00063d22	folder_config->shared_dir	.
TOP.6144ec52.00063d22	user_options->encoding_from	utf-8
TOP.6144ec52.00063d22	user_options->encoding_to	utf-8
TOP.6144ec52.00063d22	user_options->rule_buf_l	:
TOP.6144ec52.00063d22	user_options->rule_buf_r	:
TOP.6144ec52.00063d22	user_options->session	hashcat
TOP.6144ec52.00063d22	user_options->separator	:
TOP.6144ec52.00063d22	user_options->limit	0
TOP.6144ec52.00063d22	user_options->skip	0
TOP.6144ec52.00063d22	user_options->attack_mode	3
TOP.6144ec52.00063d22	user_options->benchmark	0
TOP.6144ec52.00063d22	user_options->benchmark_all	0
TOP.6144ec52.00063d22	user_options->bitmap_max	18
TOP.6144ec52.00063d22	user_options->bitmap_min	16
TOP.6144ec52.00063d22	user_options->debug_mode	0
TOP.6144ec52.00063d22	user_options->hash_info	0
TOP.6144ec52.00063d22	user_options->force	0
TOP.6144ec52.00063d22	user_options->hwmon_disable	0
TOP.6144ec52.00063d22	user_options->hwmon_temp_abort	90
TOP.6144ec52.00063d22	user_options->hash_mode	1000
TOP.6144ec52.00063d22	user_options->hex_charset	0
TOP.6144ec52.00063d22	user_options->hex_salt	0
TOP.6144ec52.00063d22	user_options->hex_wordlist	0
TOP.6144ec52.00063d22	user_options->hook_threads	4
TOP.6144ec52.00063d22	user_options->identify	0
TOP.6144ec52.00063d22	user_options->increment	1
TOP.6144ec52.00063d22	user_options->increment_max	256
TOP.6144ec52.00063d22	user_options->increment_min	1
TOP.6144ec52.00063d22	user_options->keep_guessing	0
TOP.6144ec52.00063d22	user_options->kernel_accel	0
TOP.6144ec52.00063d22	user_options->kernel_loops	0
TOP.6144ec52.00063d22	user_options->kernel_threads	0
TOP.6144ec52.00063d22	user_options->keyspace	0
TOP.6144ec52.00063d22	user_options->left	0
TOP.6144ec52.00063d22	user_options->logfile_disable	0
TOP.6144ec52.00063d22	user_options->loopback	0
TOP.6144ec52.00063d22	user_options->machine_readable	0
TOP.6144ec52.00063d22	user_options->markov_classic	0
TOP.6144ec52.00063d22	user_options->markov_disable	0
TOP.6144ec52.00063d22	user_options->markov_inverse	0
TOP.6144ec52.00063d22	user_options->markov_threshold	256
TOP.6144ec52.00063d22	user_options->multiply_accel_disable	0
TOP.6144ec52.00063d22	user_options->backend_info	0
TOP.6144ec52.00063d22	user_options->backend_vector_width	0
TOP.6144ec52.00063d22	user_options->optimized_kernel_enable	0
